 ,Area,X,Y,XM,YM,IntDen,%Area,RawIntDen
34,67.927,6345.085,30.678,6345.085,30.678,17321.278,100,2295
35,52.832,2171.703,32.378,2171.703,32.378,13472.105,100,1785
36,181.138,3517.170,35.371,3517.170,35.371,46190.074,100,6120
37,30.190,3978.022,30.220,3978.022,30.220,7698.346,100,1020
38,52.832,4103.022,32.378,4103.022,32.378,13472.105,100,1785
39,37.737,4878.297,29.945,4878.297,29.945,9622.932,100,1275
40,15.095,4991.758,28.846,4991.758,28.846,3849.173,100,510
41,301.896,1842.445,42.788,1842.445,42.788,76983.456,100,10200
42,60.379,2084.135,34.684,2084.135,34.684,15396.691,100,2040
43,30.190,2629.121,32.967,2629.121,32.967,7698.346,100,1020
44,45.284,4311.355,34.799,4311.355,34.799,11547.518,100,1530
45,90.569,4947.344,36.172,4947.344,36.172,23095.037,100,3060
46,37.737,1696.429,37.088,1696.429,37.088,9622.932,100,1275
47,45.284,2461.538,37.088,2461.538,37.088,11547.518,100,1530
48,45.284,2641.941,37.546,2641.941,37.546,11547.518,100,1530
49,392.465,3962.437,41.420,3962.437,41.420,100078.493,100,13260
50,15.095,4280.220,34.341,4280.220,34.341,3849.173,100,510
51,30.190,6076.923,35.714,6076.923,35.714,7698.346,100,1020
52,30.190,3541.209,38.462,3541.209,38.462,7698.346,100,1020
53,30.190,4782.967,38.462,4782.967,38.462,7698.346,100,1020
54,30.190,4832.418,38.462,4832.418,38.462,7698.346,100,1020
55,37.737,4985.989,39.286,4985.989,39.286,9622.932,100,1275
56,15.095,2049.451,39.835,2049.451,39.835,3849.173,100,510
57,166.043,4493.756,50.574,4493.756,50.574,42340.901,100,5610
58,15.095,2056.319,43.956,2056.319,43.956,3849.173,100,510
59,67.927,2077.076,47.466,2077.076,47.466,17321.278,100,2295
60,37.737,2622.802,44.231,2622.802,44.231,9622.932,100,1275
61,105.664,4384.615,46.703,4384.615,46.703,26944.210,100,3570
62,90.569,6293.040,45.101,6293.040,45.101,23095.037,100,3060
63,52.832,6364.011,46.115,6364.011,46.115,13472.105,100,1785
64,15.095,2116.758,46.703,2116.758,46.703,3849.173,100,510
65,45.284,2468.864,47.619,2468.864,47.619,11547.518,100,1530
66,573.602,4024.942,56.752,4024.942,56.752,146268.567,100,19380
67,52.832,4355.769,47.292,4355.769,47.292,13472.105,100,1785
68,52.832,4841.248,48.077,4841.248,48.077,13472.105,100,1785
69,45.284,6082.418,48.077,6082.418,48.077,11547.518,100,1530
70,173.590,6424.212,52.377,6424.212,52.377,44265.487,100,5865
71,30.190,2428.571,49.451,2428.571,49.451,7698.346,100,1020
72,460.391,4995.474,71.271,4995.474,71.271,117399.771,100,15555
73,113.211,6397.894,53.022,6397.894,53.022,28868.796,100,3825
74,30.190,3986.264,52.198,3986.264,52.198,7698.346,100,1020
75,37.737,4971.703,52.473,4971.703,52.473,9622.932,100,1275
76,166.043,2041.833,61.563,2041.833,61.563,42340.901,100,5610
77,60.379,2066.277,63.874,2066.277,63.874,15396.691,100,2040
78,52.832,2165.424,59.066,2165.424,59.066,13472.105,100,1785
79,45.284,4157.509,59.524,4157.509,59.524,11547.518,100,1530
80,90.569,4344.551,61.584,4344.551,61.584,23095.037,100,3060
81,158.495,5997.057,62.860,5997.057,62.860,40416.314,100,5355
82,37.737,2078.846,60.165,2078.846,60.165,9622.932,100,1275
83,37.737,3649.725,61.813,3649.725,61.813,9622.932,100,1275
84,30.190,3973.214,61.813,3973.214,61.813,7698.346,100,1020
85,30.190,4469.780,60.440,4469.780,60.440,7698.346,100,1020
86,45.284,1942.308,67.308,1942.308,67.308,11547.518,100,1530
87,45.284,2000.916,67.766,2000.916,67.766,11547.518,100,1530
88,52.832,2603.022,68.093,2603.022,68.093,13472.105,100,1785
89,60.379,4490.385,68.681,4490.385,68.681,15396.691,100,2040
90,45.284,4853.022,65.934,4853.022,65.934,11547.518,100,1530
91,150.948,6371.566,69.918,6371.566,69.918,38491.728,100,5100
92,37.737,2230.495,69.505,2230.495,69.505,9622.932,100,1275
93,113.211,4812.363,72.985,4812.363,72.985,28868.796,100,3825
94,135.853,4872.405,72.192,4872.405,72.192,34642.555,100,4590
95,143.401,2022.340,76.995,2022.340,76.995,36567.142,100,4845
96,60.379,2172.047,73.146,2172.047,73.146,15396.691,100,2040
97,422.654,4144.869,81.535,4144.869,81.535,107776.839,100,14280
98,7.547,4825.549,70.055,4825.549,70.055,1924.586,100,255
99,52.832,6273.352,73.587,6273.352,73.587,13472.105,100,1785
100,52.832,56.319,75.549,56.319,75.549,13472.105,100,1785
101,467.939,2096.242,84.323,2096.242,84.323,119324.357,100,15810
102,45.284,2136.447,75.092,2136.447,75.092,11547.518,100,1530
103,377.370,5758.297,87.802,5758.297,87.802,96229.320,100,12750
104,543.413,6238.973,99.206,6238.973,99.206,138570.221,100,18360
105,90.569,6395.833,76.465,6395.833,76.465,23095.037,100,3060
106,105.664,6428.768,77.512,6428.768,77.512,26944.210,100,3570
107,22.642,2519.689,76.465,2519.689,76.465,5773.759,100,765
108,30.190,2950.549,76.923,2950.549,76.923,7698.346,100,1020
109,52.832,3440.934,77.512,3440.934,77.512,13472.105,100,1785
110,30.190,4195.055,76.923,4195.055,76.923,7698.346,100,1020
