x,y
5631.279,380.495
5996.272,380.691
6070.513,380.037
6489.469,381.41
7189.56,380.495
159.929,383.242
183.87,384.027
1710.623,383.7
1909.799,382.937
2111.081,387.271
2290.865,387.363
2802.656,381.41
3409.341,381.868
3943.376,386.447
4377.198,384.066
5103.022,384.027
5331.044,381.868
6760.989,383.242
7609.05,423.222
4414.683,389.347
5004.464,385.646
5859.89,384.615
6614.011,384.615
7809.851,385.989
1747.253,387.363
1934.982,389.194
4637.363,387.363
5132.784,388.278
5829.762,397.344
6062.729,389.194
6360.531,392.399
6438.187,387.363
6779.304,388.278
6913.462,385.989
7218.407,387.363
7560.738,393.753
7749.411,388.736
149.382,391.827
346.429,392.033
1862.363,392.033
2493.132,391.484
2839.286,393.482
3880.495,388.736
4327.663,395.921
4358.059,391.026
4745.879,388.736
6103.022,390.11
6737.637,390.11
7438.187,390.11
415.865,393.887
1115.385,392.857
4382.811,403.011
4559.409,394.574
4738.095,393.773
5280.325,395.921
5770.91,399.038
5811.064,393.482
5978.646,395.48
5998.626,395.016
6303.571,392.857
1977.95,403.195
2812.729,398.81
3355.22,395.879
4046.329,398.976
4545.94,398.504
4601.648,396.978
4652.93,396.52
5120.683,398.94
6141.484,395.604
6620.421,397.283
6878.205,396.52
6949.81,405.114
7312.164,409.253
7494.505,395.604
2075.549,398.352
2342.582,398.626
3941.392,399.267
4766.359,400.724
5412.308,417.912
5860.207,402.895
6483.392,406.868
6506.563,401.557
6553.571,396.978
6637.363,398.352
7081.044,399.725
7644.46,402.015
7765.11,398.352
653.022,400.824
1397.436,406.136
2460.012,406.136
3211.625,411.445
4358.059,402.93
4637.088,401.923
6130.838,402.816
6150.183,406.937
6603.022,405.743
2331.654,409.799
2425.533,409.882
2683.608,403.388
3684.066,403.846
4263.736,405.22
4737.637,404.435
4811.813,406.005
4996.184,409.493
5301.282,404.762
5956.96,405.678
6556.568,406.968
6832.418,405.22
6927.656,405.678
7025.794,406.899
7276.557,405.678
7451.374,406.593
7832.418,405.22
150.903,408.948
189.56,405.22
329.212,408.883
418.027,426.228
2623.002,411.214
2804.945,407.967
3379.396,408.516
3546.598,410.292
4560.44,407.967
6778.061,407.967
7675.824,407.967
474.686,416.994
513.462,410.165
2484.89,412.088
3021.52,408.883
3034.066,412.912
3403.257,410.714
3701.465,409.799
4946.429,409.341
5095.173,410.322
5129.71,410.714
5445.055,410.714
6097.527,414.835
6648.352,410.714
7043.367,410.714
7500.824,409.615
343.407,412.088
1807.692,413.462
2087.912,410.714
2406.593,412.088
5485.348,413.919
5844.78,412.088
6316.209,415.842
6626.374,412.088
7343.032,416.209
7464.56,414.011
165.11,415.659
2451.465,416.667
3876.374,414.835
4492.216,415.751
4921.016,416.209
5111.264,416.994
5313.645,423.012
6067.308,413.462
151.061,501.631
4023.352,418.956
4217.857,417.308
4362.049,418.956
4661.058,418.613
5025.676,420.013
5344.78,419.741
5866.249,423.331
6109.89,417.582
6418.171,418.956
6447.214,418.956
7241.758,418.956
7328.297,418.171
7741.019,426.247
140.699,421.703
350.885,429.182
4078.297,418.956
4758.995,426.489
4948.077,421.154
5043.956,421.703
5711.813,422.253
5777.747,421.154
6431.319,420.33
6668.956,418.956
7511.905,421.245
7645.719,430.174
7777.473,418.956
542.582,424.451
601.374,423.901
744.505,423.077
1782.967,423.077
2319.139,423.535
3312.912,425
5126.374,423.077
5379.121,423.077
6544.986,426.511
6865.385,424.451
7704.121,428.663
592.033,426.413
2167.125,425.366
3383.242,425.824
4679.029,425.366
4712.912,427.198
5300.137,428.228
6189.156,430.268
6630.952,426.74
7171.245,426.74
7472.802,427.747
329.67,431.319
2652.473,428.571
6331.319,432.967
7190.934,428.571
7353.022,428.571
555.975,434.066
1480.769,432.692
1771.978,431.319
2066.636,437.698
2092.033,431.319
2109.89,432.692
2503.878,441.015
2634.615,431.319
2792.582,432.692
3810.897,430.861
4018.315,433.15
4068.681,429.945
4464.56,432.143
4539.585,438.686
4722.527,431.319
5106.816,439.103
5336.538,432.692
6307.104,432.692
6651.15,438.39
7090.659,431.319
7210.165,431.319
7303.571,429.945
7517.857,432.692
7578.64,432.349
865.385,434.066
2154.121,434.89
4963.37,435.897
5025,434.89
5464.011,434.89
5800.481,435.096
6146.978,436.813
6347.527,434.066
7255.619,435.19
7447.802,435.44
1540.934,437.637
1782.967,438.187
1995.879,436.813
6620.055,437.088
374.5,443.931
484.89,440.149
638.413,444.328
1167.582,439.56
2281.822,443.452
4042.692,442.582
4411.63,442.308
4930.403,441.392
6535.714,439.56
6636.538,439.835
7028.503,440.591
7076.923,439.56
7176.413,440.934
7210.623,441.392
7345.22,444.56
1800.824,440.934
2335.754,443.681
3233.01,454.526
4175.235,443.681
4693.452,452.038
4759.615,442.896
5129.662,452.672
7228.611,443.681
7297.619,443.223
364.011,450.549
1234.89,445.055
3367.445,446.429
5407.967,443.681
5672.253,445.33
6067.308,445.055
6474.49,449.372
7520.948,451.408
7725.275,445.055
2154.762,448.718
2479.153,456.771
2931.777,447.344
3544.231,449.725
3872.253,449.961
4379.121,449.176
4975.275,447.802
5309.066,447.802
5371.795,449.634
6311.355,448.718
6326.606,450.232
6548.077,447.802
7840.018,452.106
347.527,451.138
552.198,451.923
2795.33,453.755
4296.016,452.61
4531.593,452.473
4914.148,451.923
4944.139,451.465
5436.813,450.549
6021.703,452.473
6592.949,451.007
6849.931,451.58
7457.418,450.549
491.758,454.67
2432.692,453.297
3428.571,453.297
3593.995,454.67
4395.604,454.67
4426.74,455.128
4931.319,453.297
5339.286,453.297
5953.022,454.121
6157.967,453.885
7216.444,454.67
7361.951,455.701
199.176,458.203
541.209,457.418
655.22,457.418
1412.722,460.799
2112.912,456.868
2376.374,457.418
2946.429,454.67
4556.319,456.044
4711.386,458.028
4962.912,456.633
5096.154,458.219
6431.319,456.044
7203.297,457.418
7328.755,457.875
7473.901,456.044
185.44,462.912
512.019,459.821
1600.962,461.882
2071.036,464.678
5589.286,458.791
5646.978,460.165
6663.586,465.285
6835.623,459.249
7512.363,460.95
557.104,462.912
762.363,461.538
1482.708,468.326
2005.22,463.462
2500.275,462.363
3423.352,463.462
4515.568,463.37
4548.711,470.52
5793.956,461.538
5871.886,467.857
6335.302,467.857
7249.625,464.66
7855.769,462.912
887.363,462.912
5112.637,464.286
5331.387,465.316
6480.495,479.029
6685.714,468.407
6857.143,465.659
7121.154,465.11
7237.637,464.874
7348.077,464.011
7798.901,468.681
423.077,469.78
2404.533,468.407
3398.352,468.407
4178.8,470.467
4345.33,467.308
4780.311,470.788
4945.513,473.1
6239.011,468.407
6321.429,467.033
6637.637,467.857
6947.497,469.322
7575.549,467.033
7837.912,467.033
2518.773,472.07
3268.956,470.604
3428.846,471.703
3482.83,471.154
4531.593,468.407
4679.16,471.154
5286.859,470.925
6144.231,470.369
6756.181,480.082
7216.444,472.724
7642.857,471.154
728.611,473.901
2851.19,472.07
3086.538,472.527
3249.657,476.648
6700.549,472.527
7449.176,473.116
7459.821,474.245
492.347,476.648
511.185,478.611
4306.319,475.275
4394.019,477.916
5096.735,493.185
5137.637,476.099
5276.099,473.901
5715.909,482.767
6352.564,476.19
6461.538,476.648
7428.571,475.275
7472.527,476.648
7514.325,476.648
7839.286,476.648
7964.011,477.198
473.901,478.022
1962.912,478.611
2102.473,478.297
2333.791,476.648
4149.725,480.181
4487.637,478.022
4969.78,478.022
5110.871,483.909
5744.78,478.846
6153.159,479.396
6548.077,476.648
7288.736,479.945
7817.111,481.162
221.154,482.928
841.783,486.638
