 ,Area,X,Y,XM,YM,IntDen,%Area,RawIntDen
5951,83.520,3093.235,2974.806,3093.105,2974.929,3483.996,100.000,292
5952,11.931,3804.800,2972.338,3804.800,2972.338,357.945,100.000,30
5953,59.657,4333.293,2975.793,4333.214,2975.714,2624.928,100.000,220
5954,47.726,4438.646,2974.066,4438.734,2974.042,2589.134,100.000,217
5955,47.726,5778.875,2974.066,5778.703,2974.135,2386.298,100.000,200
5956,59.657,6841.042,2975.793,6841.042,2975.734,2123.806,100.000,178
5957,59.657,8013.397,2976.483,8013.240,2976.279,2624.928,100.000,220
5958,47.726,8197.678,2975.793,8197.534,2975.731,2004.491,100.000,168
5959,11.931,630.391,2975.793,630.391,2975.793,334.082,100.000,28
5960,83.520,735.004,2979.247,735.118,2979.517,3818.078,100.000,320
5961,59.657,1033.151,2979.938,1033.315,2979.531,2469.819,100.000,207
5962,59.657,1688.067,2977.865,1688.303,2977.857,3114.120,100.000,261
5963,47.726,2590.649,2977.520,2590.589,2977.528,2398.230,100.000,201
5964,274.424,3067.554,2985.404,3067.357,2985.355,14675.736,100.000,1230
5965,59.657,3393.060,2977.865,3393.328,2977.904,2732.312,100.000,229
5966,71.589,3965.421,2979.247,3965.408,2979.572,3293.092,100.000,276
5967,143.178,4218.729,2984.428,4218.891,2984.164,7970.237,100.000,668
5968,286.356,4479.665,2987.451,4479.393,2987.429,12003.081,100.000,1006
5969,119.315,4977.501,2982.701,4977.631,2983.749,6526.526,100.000,547
5970,95.452,5538.808,2977.952,5538.242,2978.137,5237.925,100.000,439
5971,23.863,5571.623,2975.793,5571.565,2975.793,1061.903,100.000,89
5972,35.794,5656.251,2975.793,5656.276,2975.793,1658.477,100.000,139
5973,143.178,7052.899,2981.550,7052.858,2981.318,7719.676,100.000,647
5974,47.726,7445.526,2976.656,7445.437,2976.735,1837.450,100.000,154
5975,107.383,8074.575,2978.479,8074.461,2978.478,4879.980,100.000,409
5976,47.726,8176.090,2977.520,8176.008,2977.555,1777.792,100.000,149
5977,59.657,324.349,2982.010,324.393,2981.942,2660.723,100.000,223
5978,1240.875,576.552,3008.541,576.895,3008.150,65706.728,100.000,5507
5979,47.726,1499.122,2980.974,1499.013,2981.037,2624.928,100.000,220
5980,23.863,2468.025,2980.974,2468.025,2980.512,1205.081,100.000,101
5981,119.315,2730.544,2983.392,2730.479,2983.084,5703.253,100.000,478
5982,23.863,3376.480,2980.974,3376.480,2981.134,1157.355,100.000,97
5983,202.835,3577.230,2989.203,3577.278,2989.108,9700.303,100.000,813
5984,47.726,3837.615,2980.974,3837.435,2981.082,2290.847,100.000,192
5985,226.698,5057.220,2986.337,5057.846,2985.817,11084.356,100.000,929
5986,71.589,5689.066,2983.277,5689.364,2983.389,3114.120,100.000,261
